BitSize,Trial,Sample,NumberOfAttempts
8,2,1,21
8,2,2,3
8,2,3,17
8,2,4,24
8,2,5,28
8,2,6,21
8,2,7,15
8,2,8,18
8,2,9,21
8,2,10,23
8,2,11,6
8,2,12,11
8,2,13,13
8,2,14,36
8,2,15,27
8,2,16,25
8,2,17,19
8,2,18,15
8,2,19,38
8,2,20,7
8,2,21,22
8,2,22,27
8,2,23,25
8,2,24,9
8,2,25,11
8,2,26,24
8,2,27,35
8,2,28,21
8,2,29,30
8,2,30,26
8,2,31,13
8,2,32,25
8,2,33,29
8,2,34,11
8,2,35,20
8,2,36,15
8,2,37,8
8,2,38,13
8,2,39,9
8,2,40,19
8,2,41,18
8,2,42,36
8,2,43,11
8,2,44,25
8,2,45,9
8,2,46,25
8,2,47,17
8,2,48,26
8,2,49,30
8,2,50,4
10,2,1,36
10,2,2,26
10,2,3,40
10,2,4,56
10,2,5,71
10,2,6,5
10,2,7,89
10,2,8,43
10,2,9,56
10,2,10,25
10,2,11,101
10,2,12,41
10,2,13,46
10,2,14,41
10,2,15,46
10,2,16,55
10,2,17,12
10,2,18,55
10,2,19,21
10,2,20,37
10,2,21,61
10,2,22,40
10,2,23,49
10,2,24,78
10,2,25,75
10,2,26,4
10,2,27,52
10,2,28,8
10,2,29,67
10,2,30,29
10,2,31,9
10,2,32,53
10,2,33,55
10,2,34,49
10,2,35,12
10,2,36,13
10,2,37,48
10,2,38,22
10,2,39,52
10,2,40,54
10,2,41,86
10,2,42,33
10,2,43,57
10,2,44,17
10,2,45,5
10,2,46,31
10,2,47,47
10,2,48,68
10,2,49,22
10,2,50,61
12,2,1,25
12,2,2,161
12,2,3,156
12,2,4,87
12,2,5,54
12,2,6,31
12,2,7,48
12,2,8,74
12,2,9,28
12,2,10,79
12,2,11,59
12,2,12,94
12,2,13,44
12,2,14,84
12,2,15,43
12,2,16,39
12,2,17,62
12,2,18,93
12,2,19,51
12,2,20,62
12,2,21,100
12,2,22,69
12,2,23,33
12,2,24,48
12,2,25,13
12,2,26,100
12,2,27,70
12,2,28,116
12,2,29,55
12,2,30,40
12,2,31,45
12,2,32,17
12,2,33,68
12,2,34,33
12,2,35,88
12,2,36,78
12,2,37,58
12,2,38,40
12,2,39,80
12,2,40,152
12,2,41,81
12,2,42,18
12,2,43,67
12,2,44,71
12,2,45,55
12,2,46,24
12,2,47,89
12,2,48,54
12,2,49,48
12,2,50,86
14,2,1,109
14,2,2,232
14,2,3,206
14,2,4,94
14,2,5,348
14,2,6,251
14,2,7,140
14,2,8,80
14,2,9,279
14,2,10,125
14,2,11,82
14,2,12,91
14,2,13,166
14,2,14,22
14,2,15,277
14,2,16,204
14,2,17,210
14,2,18,149
14,2,19,219
14,2,20,59
14,2,21,136
14,2,22,165
14,2,23,219
14,2,24,236
14,2,25,272
14,2,26,147
14,2,27,248
14,2,28,46
14,2,29,56
14,2,30,89
14,2,31,190
14,2,32,253
14,2,33,92
14,2,34,260
14,2,35,45
14,2,36,122
14,2,37,145
14,2,38,168
14,2,39,184
14,2,40,191
14,2,41,125
14,2,42,212
14,2,43,118
14,2,44,288
14,2,45,172
14,2,46,201
14,2,47,118
14,2,48,197
14,2,49,30
14,2,50,189
16,2,1,293
16,2,2,106
16,2,3,531
16,2,4,397
16,2,5,434
16,2,6,368
16,2,7,619
16,2,8,703
16,2,9,285
16,2,10,144
16,2,11,363
16,2,12,196
16,2,13,227
16,2,14,327
16,2,15,137
16,2,16,793
16,2,17,460
16,2,18,288
16,2,19,371
16,2,20,363
16,2,21,641
16,2,22,144
16,2,23,150
16,2,24,93
16,2,25,141
16,2,26,101
16,2,27,256
16,2,28,554
16,2,29,44
16,2,30,386
16,2,31,118
16,2,32,444
16,2,33,334
16,2,34,273
16,2,35,321
16,2,36,288
16,2,37,576
16,2,38,804
16,2,39,658
16,2,40,383
16,2,41,385
16,2,42,64
16,2,43,93
16,2,44,234
16,2,45,196
16,2,46,333
16,2,47,542
16,2,48,524
16,2,49,440
16,2,50,277
18,2,1,423
18,2,2,746
18,2,3,214
18,2,4,1444
18,2,5,662
18,2,6,145
18,2,7,948
18,2,8,300
18,2,9,206
18,2,10,221
18,2,11,241
18,2,12,1084
18,2,13,1164
18,2,14,361
18,2,15,812
18,2,16,295
18,2,17,673
18,2,18,263
18,2,19,436
18,2,20,888
18,2,21,274
18,2,22,258
18,2,23,404
18,2,24,481
18,2,25,1162
18,2,26,685
18,2,27,222
18,2,28,861
18,2,29,1328
18,2,30,318
18,2,31,493
18,2,32,476
18,2,33,1057
18,2,34,486
18,2,35,458
18,2,36,800
18,2,37,918
18,2,38,730
18,2,39,373
18,2,40,1097
18,2,41,815
18,2,42,1210
18,2,43,548
18,2,44,945
18,2,45,258
18,2,46,851
18,2,47,301
18,2,48,1258
18,2,49,573
18,2,50,795
20,2,1,1163
20,2,2,256
20,2,3,803
20,2,4,327
20,2,5,1500
20,2,6,1568
20,2,7,2017
20,2,8,1249
20,2,9,735
20,2,10,819
20,2,11,1010
20,2,12,781
20,2,13,1053
20,2,14,951
20,2,15,1703
20,2,16,1099
20,2,17,1857
20,2,18,1432
20,2,19,1901
20,2,20,1677
20,2,21,1243
20,2,22,1671
20,2,23,1962
20,2,24,19
20,2,25,2863
20,2,26,1668
20,2,27,1469
20,2,28,1205
20,2,29,1831
20,2,30,800
20,2,31,1174
20,2,32,367
20,2,33,661
20,2,34,1202
20,2,35,718
20,2,36,884
20,2,37,1549
20,2,38,438
20,2,39,1425
20,2,40,61
20,2,41,2072
20,2,42,622
20,2,43,1586
20,2,44,834
20,2,45,1439
20,2,46,1210
20,2,47,1730
20,2,48,1261
20,2,49,1153
20,2,50,1164
22,2,1,2375
22,2,2,3025
22,2,3,3139
22,2,4,3365
22,2,5,775
22,2,6,1727
22,2,7,2407
22,2,8,2465
22,2,9,3238
22,2,10,4815
22,2,11,1139
22,2,12,922
22,2,13,1689
22,2,14,3016
22,2,15,2744
22,2,16,1329
22,2,17,1614
22,2,18,3171
22,2,19,2895
22,2,20,2885
22,2,21,159
22,2,22,3527
22,2,23,4195
22,2,24,1282
22,2,25,932
22,2,26,4130
22,2,27,1991
22,2,28,924
22,2,29,2785
22,2,30,2559
22,2,31,1096
22,2,32,1455
22,2,33,4713
22,2,34,1394
22,2,35,3331
22,2,36,5647
22,2,37,2055
22,2,38,3281
22,2,39,2066
22,2,40,3212
22,2,41,2132
22,2,42,1905
22,2,43,3160
22,2,44,2617
22,2,45,2465
22,2,46,2122
22,2,47,1159
22,2,48,2096
22,2,49,2576
22,2,50,2339
