BitSize,Trial,Sample,NumberOfAttempts
8,1,1,158
8,1,2,569
8,1,3,697
8,1,4,151
8,1,5,461
8,1,6,115
8,1,7,133
8,1,8,33
8,1,9,568
8,1,10,191
8,1,11,82
8,1,12,222
8,1,13,437
8,1,14,344
8,1,15,101
8,1,16,59
8,1,17,183
8,1,18,437
8,1,19,37
8,1,20,12
8,1,21,32
8,1,22,8
8,1,23,185
8,1,24,380
8,1,25,42
8,1,26,178
8,1,27,529
8,1,28,282
8,1,29,277
8,1,30,107
8,1,31,33
8,1,32,198
8,1,33,77
8,1,34,235
8,1,35,349
8,1,36,135
8,1,37,318
8,1,38,420
8,1,39,1085
8,1,40,173
8,1,41,11
8,1,42,269
8,1,43,79
8,1,44,90
8,1,45,692
8,1,46,70
8,1,47,117
8,1,48,55
8,1,49,268
8,1,50,33
10,1,1,825
10,1,2,254
10,1,3,5400
10,1,4,450
10,1,5,146
10,1,6,99
10,1,7,937
10,1,8,178
10,1,9,1173
10,1,10,967
10,1,11,497
10,1,12,2850
10,1,13,3760
10,1,14,1674
10,1,15,2771
10,1,16,61
10,1,17,256
10,1,18,391
10,1,19,2231
10,1,20,362
10,1,21,321
10,1,22,815
10,1,23,230
10,1,24,1199
10,1,25,3645
10,1,26,777
10,1,27,658
10,1,28,151
10,1,29,373
10,1,30,1196
10,1,31,2917
10,1,32,1562
10,1,33,4776
10,1,34,1509
10,1,35,1244
10,1,36,1569
10,1,37,379
10,1,38,1256
10,1,39,82
10,1,40,46
10,1,41,406
10,1,42,2920
10,1,43,135
10,1,44,356
10,1,45,41
10,1,46,2636
10,1,47,2747
10,1,48,288
10,1,49,1760
10,1,50,216
12,1,1,1687
12,1,2,1833
12,1,3,1884
12,1,4,143
12,1,5,8145
12,1,6,2431
12,1,7,1723
12,1,8,951
12,1,9,1648
12,1,10,6344
12,1,11,160
12,1,12,1216
12,1,13,4097
12,1,14,19742
12,1,15,2705
12,1,16,2985
12,1,17,2237
12,1,18,890
12,1,19,10555
12,1,20,4696
12,1,21,4748
12,1,22,1065
12,1,23,2642
12,1,24,15211
12,1,25,7773
12,1,26,11084
12,1,27,1698
12,1,28,9375
12,1,29,379
12,1,30,455
12,1,31,7386
12,1,32,1443
12,1,33,2365
12,1,34,8965
12,1,35,672
12,1,36,248
12,1,37,4170
12,1,38,1945
12,1,39,6548
12,1,40,8125
12,1,41,7513
12,1,42,4524
12,1,43,1495
12,1,44,7184
12,1,45,64
12,1,46,4167
12,1,47,868
12,1,48,4931
12,1,49,64
12,1,50,3020
14,1,1,21536
14,1,2,7431
14,1,3,10115
14,1,4,10633
14,1,5,23938
14,1,6,447
14,1,7,19742
14,1,8,14515
14,1,9,1078
14,1,10,1471
14,1,11,38180
14,1,12,4910
14,1,13,22508
14,1,14,18489
14,1,15,2325
14,1,16,31452
14,1,17,7587
14,1,18,2311
14,1,19,138795
14,1,20,7407
14,1,21,27700
14,1,22,6943
14,1,23,6506
14,1,24,4512
14,1,25,6595
14,1,26,4792
14,1,27,15143
14,1,28,12445
14,1,29,2273
14,1,30,10124
14,1,31,68665
14,1,32,13422
14,1,33,8586
14,1,34,610
14,1,35,6787
14,1,36,27673
14,1,37,3535
14,1,38,1854
14,1,39,2230
14,1,40,38230
14,1,41,3803
14,1,42,16359
14,1,43,455
14,1,44,1115
14,1,45,3222
14,1,46,3120
14,1,47,120868
14,1,48,450
14,1,49,1601
14,1,50,36021
16,1,1,42601
16,1,2,20310
16,1,3,156165
16,1,4,23226
16,1,5,136590
16,1,6,147461
16,1,7,46619
16,1,8,67685
16,1,9,17664
16,1,10,32125
16,1,11,19128
16,1,12,62919
16,1,13,63492
16,1,14,44557
16,1,15,85879
16,1,16,37394
16,1,17,142225
16,1,18,2534
16,1,19,121322
16,1,20,151191
16,1,21,7481
16,1,22,23608
16,1,23,46335
16,1,24,14370
16,1,25,63864
16,1,26,66787
16,1,27,53498
16,1,28,74633
16,1,29,184145
16,1,30,4793
16,1,31,9227
16,1,32,5285
16,1,33,51331
16,1,34,23862
16,1,35,130833
16,1,36,87809
16,1,37,61647
16,1,38,114194
16,1,39,13639
16,1,40,20548
16,1,41,66975
16,1,42,10439
16,1,43,25913
16,1,44,64876
16,1,45,154411
16,1,46,135246
16,1,47,17507
16,1,48,85504
16,1,49,88894
16,1,50,123308
18,1,1,426448
18,1,2,212163
18,1,3,44215
18,1,4,1093758
18,1,5,69963
18,1,6,548690
18,1,7,48322
18,1,8,28646
18,1,9,205743
18,1,10,2032
18,1,11,25034
18,1,12,377932
18,1,13,54438
18,1,14,33445
18,1,15,519675
18,1,16,24340
18,1,17,12118
18,1,18,641211
18,1,19,35711
18,1,20,423209
18,1,21,918609
18,1,22,285006
18,1,23,298572
18,1,24,152448
18,1,25,1464931
18,1,26,119853
18,1,27,272859
18,1,28,373638
18,1,29,383252
18,1,30,268482
18,1,31,155510
18,1,32,18108
18,1,33,165795
18,1,34,81011
18,1,35,276027
18,1,36,83799
18,1,37,275774
18,1,38,465211
18,1,39,274723
18,1,40,19720
18,1,41,85279
18,1,42,119948
18,1,43,437809
18,1,44,345518
18,1,45,142776
18,1,46,311713
18,1,47,118430
18,1,48,67011
18,1,49,81069
18,1,50,40398
20,1,1,1521805
20,1,2,147718
20,1,3,1467456
20,1,4,888366
20,1,5,89293
20,1,6,295259
20,1,7,928625
20,1,8,1377875
20,1,9,483525
20,1,10,210894
20,1,11,897579
20,1,12,1251240
20,1,13,179094
20,1,14,675876
20,1,15,137132
20,1,16,909173
20,1,17,640785
20,1,18,1092257
20,1,19,887484
20,1,20,184556
20,1,21,202901
20,1,22,291974
20,1,23,714949
20,1,24,1915949
20,1,25,4696329
20,1,26,678745
20,1,27,694499
20,1,28,537867
20,1,29,499026
20,1,30,222592
20,1,31,363202
20,1,32,1687438
20,1,33,2230181
20,1,34,1493495
20,1,35,1285817
20,1,36,98332
20,1,37,473552
20,1,38,149501
20,1,39,6976349
20,1,40,627363
20,1,41,4696265
20,1,42,82339
20,1,43,8809
20,1,44,288501
20,1,45,654826
20,1,46,831354
20,1,47,489377
20,1,48,663724
20,1,49,906316
20,1,50,33965
22,1,1,2473200
22,1,2,6452962
22,1,3,389160
22,1,4,884683
22,1,5,4853833
22,1,6,130972
22,1,7,889686
22,1,8,305734
22,1,9,1314808
22,1,10,6436038
22,1,11,14597385
22,1,12,5054477
22,1,13,1412768
22,1,14,453328
22,1,15,10993234
22,1,16,12068454
22,1,17,2160785
22,1,18,2724335
22,1,19,6070857
22,1,20,8087476
22,1,21,10999500
22,1,22,12509156
22,1,23,316895
22,1,24,1007198
22,1,25,390235
22,1,26,4643023
22,1,27,3270815
22,1,28,629169
22,1,29,1261652
22,1,30,551777
22,1,31,333171
22,1,32,124816
22,1,33,2087959
22,1,34,4380514
22,1,35,527512
22,1,36,1177387
22,1,37,4328389
22,1,38,3010438
22,1,39,581406
22,1,40,2038461
22,1,41,1279299
22,1,42,7885606
22,1,43,3033858
22,1,44,2301020
22,1,45,356581
22,1,46,177023
22,1,47,7463381
22,1,48,4968634
22,1,49,1925956
22,1,50,823924
